Title;FonteDeRecurso;PublicoAlvo;Category
Chamada Nordeste;"Finep ; BNDES ; BB ; CAIXA ; BNB";Empresas;Energia
FIP Transição Energética e Descarbonização;"FINEP ; FNDCT";;Energia
Programa Mulheres Inovadoras - 6ª edição;FINEP;Empresas;Saúde
Seleção de Gestor para o FIP Complexo da Saúde;"FINEP ; FNDCT";Empresas;Saúde
Finep Mover Empresarial;Programa Mobilidade Verde e Inovação (PROGRAMA MOVER);Empresas;Energia
Ação Conjunta de Fomento FINEP - BNDES;"Finep ; BNDES";Empresas;Outros
Cadeias Socioprodutivas da Agricultura Familiar e Sistemas Agroalimentares - Empresas;"FINEP ; FNDCT";;Outros
PROINFRA 2025 UNIDADES DE PESQUISAS MCTI;"FINEP ; FNDCT";;Infraestrutura
Chamada Pública para Seleção de Planos de Negócio para Investimentos na Transformação de Minerais Estratégicos para Transição Energética e Descarbonização Ação Conjunta de Fomento BNDES - FINEP;"FINEP ; BNDES";Empresas;Energia
CENTROS TEMÁTICOS 2024;"FINEP ; FNDCT";;Infraestrutura
PROINFRA 2024 EXPANSÃO;"FINEP ; FNDCT";;Infraestrutura
PRÓ-INFRA CENTROS TEMÁTICOS - Implantação e melhoria da infraestrutura de pesquisa para solucionar desafios em áreas temáticas críticas;;;Tecnologia
PROINFRA DESENVOLVIMENTO REGIONAL -2024;"FINEP ; FNDCT";;Infraestrutura
PARQUES  TECNOLÓGICOS – 01/2024;"FINEP ; FNDCT";"ICTs ; Empresas";Outros
Geração de empreendimentos inovadores - Centelha 3ª Edição;"FINEP ; FNDCT";"ICTs ; Empresas ; Fundações";Outros
Chamada pública de Planos de Negócios para investimentos em combustíveis de aviação e navegação de baixo carbono;"FINEP ; FNDCT";Empresas;Saúde
Conhecimento Brasil;;;Outros
Recuperação e preservação de acervos 2024;"FINEP ; FNDCT";;Outros
Cadeias Socioprodutivas da Agricultura Familiar e Sistemas Agroalimentares - ICT;"FINEP ; FNDCT";"ICTs; Fundações";Tecnologia
Edital FIP Nordeste Capital Semente;"FINEP ; FNDCT";Gestores de Fundos de Investimento em Participações;Outros
Cadeias Socioprodutivas da Agricultura Familiar e Sistemas Agroalimentares - Empresas;;;Outros
PRÓ-AMAZÔNIA;"FINEP ; FNDCT";;Tecnologia
Chamada Finep Amazônia - Bioeconomia e Desenvolvimento Regional;"FINEP ; FNDCT";Empresas;Tecnologia
SOLUÇÕES TECNOLÓGICAS PARA AUMENTO DA PRODUTIVIDADE NA AGRICULTURA FAMILIAR, AQUICULTURA E PESCA ARTESANAL;"FINEP ; FNDCT";;Outros
Programa Mulheres Inovadoras - 5ª edição;FINEP;Empresas;Saúde
Chamada pública emergencial do Rio Grande do Sul - Infra 2024;"FNDCT ; CT-INFRA";;Infraestrutura
Soluções de IA para o Poder Público – Rodada 3;;;Tecnologia
Mais Inovação Brasil – Tecnologias Digitais;FNDCT;;Tecnologia
Chamada pública conjunta Finep e Rede Eureka 2024;"FINEP ; FNDCT";Empresas;Outros
MAIS INOVAÇÃO BRASIL – BIOECONOMIA;FNDCT;Empresas;Tecnologia
MAIS INOVAÇÃO BRASIL – CADEIAS AGROINDUSTRIAIS SUSTENTÁVEIS;;;Outros
MAIS INOVAÇÃO BRASIL – AVIAÇÃO SUSTENTÁVEL;;;Outros
MAIS INOVAÇÃO BRASIL - ENERGIAS RENOVÁVEIS;FNDCT;Empresas;Energia
MAIS INOVAÇÃO BRASIL – SAÚDE/EMPRESA;FNDCT;Empresas;Saúde
MAIS INOVAÇÃO BRASIL - Soberania e Defesa Nacional;FNDCT;Empresas;Tecnologia
MAIS INOVAÇÃO BRASIL – MOBILIDADE URBANA;FNDCT;Empresas;Infraestrutura
MAIS INOVAÇÃO BRASIL – SAÚDE/ICTs;FNDCT;"ICTs ; Fundações";Saúde
MAIS INOVAÇÃO BRASIL – RESÍDUOS – SANEAMENTO – MORADIA;FNDCT;;Tecnologia
MAIS INOVAÇÃO BRASIL – SEMICONDUTORES;FNDCT;Empresas;Tecnologia
4a Chamada Pública Conjunta entre Finep e RCN;;;Outros
PRÓ-INFRA EXPANSÃO E DESENVOLVIMENTO DE INFRAESTRUTURA DE PESQUISA - Modernização de ambientes físicos e aquisição de equipamentos;FNDCT;;Infraestrutura
PRÓ-INFRA RECUPERAÇÃO Recuperação e atualização de ambientes de pesquisa e equipamentos;FNDCT;;Infraestrutura
PRÓ-INFRA CENTROS TEMÁTICOS - Implantação e melhoria da infraestrutura de pesquisa para solucionar desafios em áreas temáticas críticas;;;Tecnologia
Soluções de IA para o Poder Público Rodada 2;;;Tecnologia
Prêmio Mulheres Inovadoras 4ª Edição - 2023;Próprio;Empresas;Saúde
FINEP 2030 Rede de ICTs - ciclo 5;Recursos captados com base no Programa Rota 2030;;Outros
Seleção de Gestor para o FIP Finep Startup;Próprios;Gestores de Fundos de Investimento em Participações;Energia
Centros Nacionais Multiusuários 2023;FNDCT;"ICTs ; Empresas";Infraestrutura
Programa Finep InovaDoc;FNDCT;;Tecnologia
Programa praças da ciência em museus e centros de ciência e tecnologia e espaços científicos culturais – 01/2022;"FINEP ; FNDCT";"ICTs ; Fundações";Tecnologia
Finep TECNOVA III 01/2022;FNDCT;Empresas;Outros
