Title;FonteDeRecurso;PublicoAlvo;Category
Chamada Nordeste;"Finep ; BNDES ; BB ; CAIXA ; BNB";Empresas;"Bioeconomia; Energia renovável; Descarbonização Foco em Hidrogênio Verde - H2V; Data Center Verde; Automotiva"
FIP Transição Energética e Descarbonização;"FINEP ; FNDCT";;Energia
Programa Mulheres Inovadoras - 6ª edição;FINEP;Empresas;"5G e Wi-fi 6; Agritech; Automação de processos robóticos (RPA); Big Data; Bioeconomia; Biotecnologia; Cidades inteligentes e sustentáveis; Defesa e segurança nacional; Educação; Eficiência energética; Energia renovável; Inteligência artificial (IA); Internet das Coisas - IoT; Nuvem; Prevenção e recuperação de desastres naturais e ambientais; Realidade estendida (XR); Saneamento básico; Segurança hídrica; Segurança pública; Segurança privada; Saúde animal"
Seleção de Gestor para o FIP Complexo da Saúde;"FINEP ; FNDCT";Empresas;
Finep Mover Empresarial;Programa Mobilidade Verde e Inovação (PROGRAMA MOVER);Empresas;"Produtos e processos para aumento de produtividade da cadeia automotiva; Tecnologias da Informação e comunicação para aplicações automotivas; Materiais Avançados para aplicações automotivas; Segurança Veicular; Eficiência energética de veículos movidos a biocombustíveis; Veículos elétricos e híbrido-elétricos"
Ação Conjunta de Fomento FINEP - BNDES;"Finep ; BNDES";Empresas;
Cadeias Socioprodutivas da Agricultura Familiar e Sistemas Agroalimentares - Empresas;"FINEP ; FNDCT";;
PROINFRA 2025 UNIDADES DE PESQUISAS MCTI;"FINEP ; FNDCT";;
Chamada Pública para Seleção de Planos de Negócio para Investimentos na Transformação de Minerais Estratégicos para Transição Energética e Descarbonização Ação Conjunta de Fomento BNDES - FINEP;"FINEP ; BNDES";Empresas;
CENTROS TEMÁTICOS 2024;"FINEP ; FNDCT";;Infraestrutura de pesquisa
PROINFRA 2024 EXPANSÃO;"FINEP ; FNDCT";;Infraestrutura de pesquisa
PRÓ-INFRA CENTROS TEMÁTICOS - Implantação e melhoria da infraestrutura de pesquisa para solucionar desafios em áreas temáticas críticas;;;
PROINFRA DESENVOLVIMENTO REGIONAL -2024;"FINEP ; FNDCT";;
PARQUES  TECNOLÓGICOS – 01/2024;"FINEP ; FNDCT";"ICTs ; Empresas";
Geração de empreendimentos inovadores - Centelha 3ª Edição;"FINEP ; FNDCT";"ICTs ; Empresas ; Fundações";Descentralização de Recursos
Chamada pública de Planos de Negócios para investimentos em combustíveis de aviação e navegação de baixo carbono;"FINEP ; FNDCT";Empresas;"5G e Wi-fi 6; Aeronáutica; Agricultura, agronegócio e saúde animal; Agritech; Aquaviário; Audiovisual; Automação de processos robóticos (RPA); Big Data; BIM - Building Information Modeling; Bioeconomia; Biotecnologia; Cidades inteligentes e sustentáveis; Cidades Sustentáveis; Combustíveis; Defesa; Defesa e segurança nacional; Descentralização de recursos; Educação; Eficiência energética; Energia; Energia renovável; Esportes; Habitação; Higiene, perfumaria e cosméticos; Infraestrutura de pesquisa"
Conhecimento Brasil;;;
Recuperação e preservação de acervos 2024;"FINEP ; FNDCT";;
Cadeias Socioprodutivas da Agricultura Familiar e Sistemas Agroalimentares - ICT;"FINEP ; FNDCT";"ICTs; Fundações";"Sustentabilidade ; Tecnologia Social"
Edital FIP Nordeste Capital Semente;"FINEP ; FNDCT";Gestores de Fundos de Investimento em Participações;
Cadeias Socioprodutivas da Agricultura Familiar e Sistemas Agroalimentares - Empresas;;;
PRÓ-AMAZÔNIA;"FINEP ; FNDCT";;
Chamada Finep Amazônia - Bioeconomia e Desenvolvimento Regional;"FINEP ; FNDCT";Empresas;"Bioeconomia; Cidades inteligentes e sustentáveis; Sustentabilidade; TICs - Tecnologia de Informação e Comunicação"
SOLUÇÕES TECNOLÓGICAS PARA AUMENTO DA PRODUTIVIDADE NA AGRICULTURA FAMILIAR, AQUICULTURA E PESCA ARTESANAL;"FINEP ; FNDCT";;
Programa Mulheres Inovadoras - 5ª edição;FINEP;Empresas;"Agritech; Bioeconomia; Cidades inteligentes e sustentáveis; Cidades Sustentáveis; Defesa e segurança nacional; Educação; Eficiência energética; Energia renovável; Esportes; Foodtech; Monitoramento; Preservação ambiental; Prevenção e recuperação de desastres naturais e ambientais; Saneamento; Segurança pública; Segurança privada; Saúde animal; Tratamento da poluição e de resíduos sólidos"
Chamada pública emergencial do Rio Grande do Sul - Infra 2024;"FNDCT ; CT-INFRA";;Infraestrutura de pesquisa
Soluções de IA para o Poder Público – Rodada 3;;;
Mais Inovação Brasil – Tecnologias Digitais;FNDCT;;
Chamada pública conjunta Finep e Rede Eureka 2024;"FINEP ; FNDCT";Empresas;
MAIS INOVAÇÃO BRASIL – BIOECONOMIA;FNDCT;Empresas;"Aeronáutica; Combustíveis; Sustentabilidade"
MAIS INOVAÇÃO BRASIL – CADEIAS AGROINDUSTRIAIS SUSTENTÁVEIS;;;
MAIS INOVAÇÃO BRASIL – AVIAÇÃO SUSTENTÁVEL;;;
MAIS INOVAÇÃO BRASIL - ENERGIAS RENOVÁVEIS;FNDCT;Empresas;"Eficiência energética; Energia; Energia renovável; Sustentabilidade"
MAIS INOVAÇÃO BRASIL – SAÚDE/EMPRESA;FNDCT;Empresas;Saúde e Fármacos
MAIS INOVAÇÃO BRASIL - Soberania e Defesa Nacional;FNDCT;Empresas;"Defesa; Defesa e segurança nacional"
MAIS INOVAÇÃO BRASIL – MOBILIDADE URBANA;FNDCT;Empresas;"Cidades inteligentes e sustentáveis; Cidades Sustentáveis; Sustentabilidade"
MAIS INOVAÇÃO BRASIL – SAÚDE/ICTs;FNDCT;"ICTs ; Fundações";Saúde e Fármacos
MAIS INOVAÇÃO BRASIL – RESÍDUOS – SANEAMENTO – MORADIA;FNDCT;;"Cidades Sustentáveis; Habitação; Saneamento; Saneamento básico; Tratamento da poluição e de resíduos sólidos"
MAIS INOVAÇÃO BRASIL – SEMICONDUTORES;FNDCT;Empresas;TICs - Tecnologia de Informação e Comunicação
4a Chamada Pública Conjunta entre Finep e RCN;;;
PRÓ-INFRA EXPANSÃO E DESENVOLVIMENTO DE INFRAESTRUTURA DE PESQUISA - Modernização de ambientes físicos e aquisição de equipamentos;FNDCT;;Infraestrutura de pesquisa
PRÓ-INFRA RECUPERAÇÃO Recuperação e atualização de ambientes de pesquisa e equipamentos;FNDCT;;Infraestrutura de pesquisa
PRÓ-INFRA CENTROS TEMÁTICOS - Implantação e melhoria da infraestrutura de pesquisa para solucionar desafios em áreas temáticas críticas;;;
Soluções de IA para o Poder Público Rodada 2;;;
Prêmio Mulheres Inovadoras 4ª Edição - 2023;Próprio;Empresas;"Agritech; Bioeconomia; Cidades inteligentes e sustentáveis; Defesa e segurança nacional; Educação; Eficiência energética; Energia renovável; Foodtech; Monitoramento; Preservação ambiental; Prevenção e recuperação de desastres naturais e ambientais; Saneamento; Segurança pública; Segurança privada; Saúde animal; Tratamento da poluição e de resíduos sólidos"
FINEP 2030 Rede de ICTs - ciclo 5;Recursos captados com base no Programa Rota 2030;;
Seleção de Gestor para o FIP Finep Startup;Próprios;Gestores de Fundos de Investimento em Participações;"Aeronáutica; Agritech; Biotecnologia; Cidades Sustentáveis; Educação; Energia; Internet das Coisas - IoT; Manufatura avançada; Nanotecnologia; Sustentabilidade; TICs - Tecnologia de Informação e Comunicação; Venture Capital; Outros"
Centros Nacionais Multiusuários 2023;FNDCT;"ICTs ; Empresas";Infraestrutura de pesquisa
